,count_spelling_errors,text_length,num_sentences,num_words,avg_word_length,num_unique_words,function_word_frequency,content_word_frequency,spelling_errors,quote_frequency,uppercase_frequency,punctuation_frequency,adverb_frequency,past_tense_verb_frequency,present_tense_verb_frequency,pronoun_frequency,coordinating_conjunction_frequency,negative_word_proportion,named_entity_frequency,adjective_frequency,proper_noun_frequency,modal_frequency,determiner_frequency,interrogative_adverb_frequency,interrogative_pronoun_frequency,preposition_frequency,negation_adverb_frequency,degree_adverb_frequency,manner_adverb_frequency,demonstrative_pronoun_frequency,possessive_pronoun_frequency,reflexive_pronoun_frequency,reciprocal_pronoun_frequency,indefinite_pronoun_frequency,possessive_adjective_frequency,demonstrative_adjective_frequency,indefinite_adjective_frequency,interrogative_adjective_frequency,exclamatory_adjective_frequency,auxiliary_verb_frequency,modal_verb_frequency,modifier_adverb_frequency,linking_adverb_frequency,place_adverb_frequency,subordinating_conjunction_frequency,correlative_conjunction_frequency,interjection_frequency,onomatopoeia_frequency,palindrome_frequency
0,22.0,1875.0,16.0,386.0,3.9844559585492227,181.0,165.0,221.0,22.0,0.0,55.0,44.0,21.0,1.0,63.0,42.0,18.0,0.0,0.0,20.0,12.0,5.0,20.0,4.0,1.0,53.0,4.0,3.0,0.0,0.0,12.0,0.0,0.0,2.0,12.0,0.0,1.0,1.0,1.0,10.0,4.0,3.0,0.0,1.0,6.0,12.0,0.0,0.0,12.0
1,22.0,2288.0,20.0,464.0,4.030172413793103,209.0,181.0,283.0,22.0,0.0,74.0,36.0,17.0,8.0,72.0,42.0,22.0,0.014,9.0,19.0,18.0,16.0,35.0,9.0,0.0,58.0,2.0,4.0,2.0,9.0,8.0,0.0,0.0,10.0,8.0,9.0,6.0,0.0,0.0,19.0,14.0,4.0,0.0,0.0,6.0,5.0,0.0,1.0,25.0
2,10.0,1541.0,14.0,313.0,4.035143769968051,161.0,132.0,181.0,10.0,0.0,55.0,27.0,11.0,1.0,52.0,21.0,22.0,0.045,5.0,15.0,13.0,4.0,27.0,3.0,5.0,32.0,2.0,2.0,1.0,6.0,2.0,0.0,0.0,7.0,2.0,6.0,5.0,3.0,3.0,12.0,4.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,13.0
3,52.0,3165.0,27.0,611.0,4.328968903436989,267.0,208.0,403.0,52.0,1.0,262.0,49.0,26.0,18.0,74.0,26.0,30.0,0.008,6.0,42.0,71.0,14.0,43.0,4.0,3.0,64.0,10.0,2.0,5.0,12.0,8.0,0.0,0.0,4.0,8.0,12.0,3.0,1.0,3.0,22.0,14.0,2.0,0.0,1.0,5.0,11.0,0.0,1.0,11.0
4,17.0,2569.0,30.0,517.0,4.071566731141199,211.0,216.0,301.0,17.0,0.0,54.0,50.0,34.0,2.0,83.0,29.0,25.0,0.026,5.0,23.0,9.0,26.0,54.0,5.0,1.0,43.0,0.0,8.0,3.0,4.0,3.0,0.0,0.0,15.0,3.0,4.0,7.0,3.0,1.0,35.0,24.0,8.0,0.0,2.0,7.0,9.0,0.0,2.0,16.0
5,19.0,1276.0,15.0,274.0,3.7627737226277373,140.0,125.0,149.0,19.0,0.0,52.0,20.0,16.0,6.0,38.0,29.0,11.0,0.028,4.0,11.0,18.0,5.0,23.0,6.0,2.0,28.0,1.0,1.0,2.0,11.0,6.0,0.0,0.0,9.0,6.0,11.0,7.0,2.0,2.0,11.0,5.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,10.0
6,11.0,2808.0,30.0,580.0,3.9827586206896552,236.0,227.0,353.0,11.0,0.0,63.0,73.0,39.0,7.0,74.0,59.0,19.0,0.095,5.0,28.0,12.0,18.0,43.0,3.0,5.0,65.0,7.0,4.0,10.0,15.0,23.0,0.0,0.0,8.0,23.0,15.0,3.0,3.0,1.0,21.0,16.0,4.0,0.0,2.0,7.0,6.0,0.0,0.0,13.0
7,16.0,2724.0,39.0,556.0,4.037769784172662,227.0,207.0,349.0,16.0,1.0,91.0,79.0,28.0,7.0,98.0,50.0,22.0,0.042,1.0,40.0,14.0,8.0,39.0,5.0,1.0,56.0,2.0,4.0,2.0,11.0,7.0,0.0,0.0,8.0,7.0,11.0,2.0,1.0,1.0,14.0,5.0,4.0,0.0,1.0,6.0,8.0,0.0,0.0,18.0
8,13.0,2402.0,35.0,512.0,3.833984375,231.0,200.0,312.0,13.0,1.0,64.0,65.0,31.0,1.0,80.0,37.0,26.0,0.024,3.0,28.0,10.0,13.0,56.0,1.0,6.0,40.0,0.0,2.0,1.0,10.0,8.0,0.0,0.0,17.0,8.0,10.0,12.0,3.0,3.0,21.0,11.0,2.0,0.0,0.0,1.0,5.0,1.0,1.0,18.0
9,17.0,2632.0,26.0,561.0,3.798573975044563,223.0,253.0,308.0,17.0,0.0,62.0,55.0,35.0,7.0,99.0,39.0,29.0,0.146,2.0,39.0,11.0,6.0,54.0,5.0,0.0,51.0,5.0,2.0,3.0,13.0,5.0,0.0,0.0,12.0,5.0,13.0,8.0,1.0,1.0,17.0,5.0,2.0,0.0,1.0,13.0,7.0,0.0,0.0,16.0
